Account,Risk Cat,Avg Pay Days,Delayed Amt %,P30DTOA,90DSO,Decision
469,Low Risk,-17.60,0.00,0.00,0.00,Approved
470,Low Risk,1.08,75.76,10.85,75.16,Rejected
471,Low Risk,2.14,85.69,0.00,0.00,Hold
472,Low Risk,1.25,91.54,0.00,35.16,Hold
473,High Risk,-23.38,0.00,0.00,31.40,Hold
474,High Risk,-22.05,0.00,0.00,19.31,Approved
475,High Risk,-25.50,0.00,0.00,0.00,Approved
476,High Risk,-24.12,0.00,0.00,27.43,Approved
477,Moderately High Risk,2.10,30.88,0.00,0.56,Approved
478,Moderate Risk,14.29,67.21,0.00,1.72,Rejected
479,Moderate Risk,2.67,31.03,0.00,0.00,Approved
480,Moderate Risk,15.00,51.49,0.00,90.00,Rejected
481,Moderate Risk,-1.60,51.32,0.00,39.52,Hold
482,Moderate Risk,64.00,100.00,0.00,90.00,Rejected
483,Moderate Risk,-8.16,5.61,0.00,7.71,Approved
484,Low Risk,-19.80,0.69,0.00,0.00,Approved
485,Low Risk,-1.41,32.05,0.25,26.27,Approved
486,Low Risk,-11.40,20.39,65.69,90.00,Hold
487,Low Risk,-5.17,23.13,100.00,90.00,Hold
488,Moderate Risk,24.00,49.53,0.00,0.00,Hold
489,Low Risk,-62.00,0.00,0.00,0.00,Approved
490,Moderate Risk,-6.73,2.10,0.00,0.00,Approved
491,Low Risk,3.00,100.00,0.00,0.00,Approved
492,Low Risk,44.33,54.26,0.00,0.00,Rejected
493,Moderately High Risk,-1.64,63.93,0.00,10.70,Hold
494,Moderate Risk,-11.79,17.21,0.00,10.12,Approved
495,Moderate Risk,-13.59,3.64,4.34,17.14,Approved
496,Low Risk,-12.15,7.13,0.00,14.15,Approved
497,Moderate Risk,24.50,100.00,0.00,90.00,Rejected
498,Moderate Risk,178.44,100.00,0.00,0.00,Rejected
499,Moderate Risk,9.40,96.26,0.00,90.00,Rejected
500,Low Risk,-17.38,0.30,0.00,0.26,Approved
501,Moderate Risk,6.75,100.00,0.00,0.00,Rejected
502,Moderate Risk,16.09,88.73,40.35,59.33,Rejected
503,Low Risk,-15.09,15.08,0.00,3.49,Approved
504,Moderate Risk,-1.51,30.07,0.00,63.80,Hold
505,Moderate Risk,2.30,81.22,0.00,47.63,Rejected
506,Moderate Risk,-20.14,0.00,0.00,0.00,Approved
507,Low Risk,-11.46,0.00,0.00,33.35,Approved
508,High Risk,-23.29,0.00,0.00,20.57,Approved
509,Moderately High Risk,3.83,83.35,0.00,0.00,Rejected
510,Low Risk,-9.81,23.13,0.89,18.02,Approved
511,Moderately High Risk,78.50,100.00,0.00,0.00,Rejected
512,Moderate Risk,3.23,50.04,0.00,20.34,Rejected
513,Moderate Risk,33.75,100.00,0.00,0.00,Rejected
514,Low Risk,-7.67,0.00,0.00,0.00,Approved
515,High Risk,2.00,78.32,0.00,0.00,Rejected
516,Low Risk,-6.74,6.02,0.00,12.19,Approved
517,Low Risk,16.71,49.56,0.00,0.00,Hold
518,Low Risk,-13.95,0.00,0.00,10.23,Approved
519,Moderate Risk,7.13,76.05,0.00,10.60,Rejected
520,High Risk,-25.04,0.00,0.00,18.22,Approved
521,High Risk,-24.48,0.00,0.00,37.45,Hold
522,High Risk,-23.86,0.00,0.00,22.12,Approved
523,Moderate Risk,0.00,0.00,0.00,90.00,Rejected
524,Low Risk,12.78,63.27,0.00,0.00,Hold
525,Low Risk,-7.67,0.00,0.00,0.00,Approved
526,Low Risk,5.00,78.47,0.00,0.00,Hold
527,Low Risk,3.00,66.37,0.00,0.00,Hold
528,Low Risk,-6.55,20.96,0.00,0.00,Approved
529,Low Risk,-14.17,0.00,0.00,0.00,Approved
530,Low Risk,-9.87,0.00,0.00,42.41,Approved
531,Moderate Risk,-11.77,2.60,44.66,22.01,Hold
532,Moderate Risk,27.45,92.89,100.00,90.00,Rejected
533,Moderate Risk,-19.67,0.00,0.00,0.00,Approved
534,Moderate Risk,-14.91,0.00,0.00,0.00,Approved
535,High Risk,2.66,90.48,0.00,0.40,Rejected
536,Moderate Risk,-6.88,0.00,0.00,23.01,Approved
537,Low Risk,-14.36,0.00,0.00,14.44,Approved
538,Moderate Risk,-11.13,0.00,0.00,0.00,Approved
539,Moderate Risk,-8.13,15.19,2.99,90.00,Rejected
540,High Risk,-9.85,28.92,0.00,10.15,Hold
541,Moderate Risk,-15.81,0.00,0.00,1.34,Approved
542,Low Risk,-6.25,21.54,0.00,0.00,Approved
543,High Risk,-2.83,32.39,57.12,24.08,Rejected
544,Moderately High Risk,6.50,80.00,0.00,83.08,Rejected
545,Low Risk,-12.83,2.25,0.00,17.34,Approved
546,Moderate Risk,-20.00,0.00,0.00,0.00,Approved
547,Moderately High Risk,13.63,86.96,39.52,90.00,Rejected
548,Low Risk,-0.88,47.15,0.00,10.34,Approved
549,Moderate Risk,-2.96,48.99,0.00,0.00,Hold
550,Moderate Risk,-17.36,0.00,0.00,0.00,Approved
551,Low Risk,-10.20,14.93,0.00,14.99,Approved
552,Moderate Risk,26.00,95.54,30.14,69.49,Rejected
553,Low Risk,-8.50,22.99,0.00,6.96,Approved
554,Moderate Risk,-13.40,0.00,0.00,0.00,Approved
555,Moderate Risk,7.50,43.47,0.00,0.00,Hold
556,Moderate Risk,-6.22,0.76,0.00,0.00,Approved
557,Moderate Risk,1.57,55.89,0.00,45.09,Hold
558,Moderate Risk,7.56,92.31,0.00,0.20,Rejected
559,Moderate Risk,7.80,75.56,0.00,0.00,Rejected
560,Moderate Risk,3.75,80.39,0.00,90.00,Rejected
561,Moderate Risk,-16.76,0.67,100.00,0.00,Hold
562,High Risk,-14.67,2.93,61.76,88.46,Approved
563,Low Risk,-15.68,0.06,64.27,13.36,Hold
564,Low Risk,6.20,72.34,0.00,17.42,Approved
565,Low Risk,-7.21,10.85,37.74,0.23,Approved
566,Moderate Risk,16.89,59.00,0.00,88.78,Rejected
567,Moderately High Risk,12.82,69.94,0.00,0.00,Rejected
568,Moderate Risk,16.00,100.00,0.00,0.00,Rejected
569,Moderately High Risk,17.92,87.82,0.00,1.55,Rejected
570,Moderate Risk,-18.00,0.00,0.00,0.00,Approved
571,Moderate Risk,19.59,94.33,0.00,32.73,Rejected
572,Moderate Risk,3.00,100.00,0.00,90.00,Rejected
573,Moderate Risk,7.67,100.00,0.00,0.00,Rejected
574,Low Risk,32.00,71.95,0.00,0.00,Rejected
575,Moderate Risk,-5.25,2.61,0.00,90.00,Approved
576,Low Risk,-16.70,48.36,0.00,90.00,Hold
577,Moderate Risk,12.36,54.11,0.00,46.33,Rejected
578,Moderate Risk,41.50,100.00,0.00,0.00,Rejected
579,High Risk,-6.33,26.03,0.02,24.49,Approved
580,Low Risk,3.33,40.93,0.00,0.00,Approved
581,Low Risk,79.00,100.00,0.00,0.00,Rejected
582,Low Risk,8.71,100.00,0.00,31.06,Hold
583,Moderate Risk,5.10,27.01,0.00,0.00,Approved
584,Low Risk,-7.97,5.84,0.00,19.04,Approved
585,Moderate Risk,9.89,84.75,0.00,48.22,Rejected
586,Low Risk,-17.50,0.00,0.00,0.00,Approved
587,Low Risk,4.77,46.22,3.99,30.91,Approved
588,Moderate Risk,-14.07,4.67,100.00,64.42,Rejected
589,Low Risk,-2.58,57.80,0.00,42.65,Approved
590,Moderate Risk,-20.29,4.31,0.00,28.35,Approved
591,Moderate Risk,-16.29,0.00,0.00,0.00,Approved
592,Moderate Risk,-14.50,0.00,0.00,0.00,Approved
593,Moderate Risk,-15.64,0.02,0.00,29.23,Approved
594,Low Risk,14.00,79.60,86.61,90.00,Rejected
595,Moderate Risk,-13.00,0.19,0.00,0.00,Approved
596,Moderate Risk,-2.57,59.98,0.00,0.00,Rejected
597,Moderate Risk,-6.29,11.57,0.00,0.00,Approved
598,Moderate Risk,18.73,83.23,19.06,47.42,Rejected
599,Low Risk,8.17,61.86,5.34,26.26,Hold
600,Moderate Risk,-6.50,10.35,0.00,0.00,Approved
601,Moderately High Risk,2.20,21.39,0.00,0.00,Approved
602,Moderate Risk,-16.00,0.00,0.00,0.00,Approved
603,Moderate Risk,-15.00,0.00,0.00,0.00,Approved
604,Moderate Risk,-22.00,0.00,0.00,0.00,Approved
605,Moderate Risk,6.91,74.43,7.03,15.47,Rejected
606,Moderate Risk,-9.00,0.00,0.00,0.00,Approved
607,Moderate Risk,-10.20,23.04,0.00,23.29,Approved
608,Moderate Risk,57.00,100.00,100.00,90.00,Rejected
609,Moderate Risk,1.00,53.24,0.00,0.00,Hold
610,Moderate Risk,1.48,52.36,0.00,43.44,Hold
611,Low Risk,-0.23,24.01,43.09,69.25,Hold
612,Moderately High Risk,8.53,43.71,0.00,0.11,Hold
613,Moderate Risk,-17.33,0.00,0.00,0.00,Approved
614,Moderate Risk,6.00,100.00,0.00,0.00,Rejected
615,High Risk,9.00,100.00,0.00,0.00,Rejected
616,Moderate Risk,-9.36,3.59,0.00,25.21,Approved
617,High Risk,-6.14,2.07,0.00,11.38,Approved
618,Low Risk,-15.15,0.00,0.00,12.48,Approved
619,Moderate Risk,-13.09,9.16,0.00,0.00,Approved
620,Low Risk,88.29,100.00,0.00,90.00,Rejected
621,High Risk,-8.52,4.90,0.00,17.71,Approved
622,Moderate Risk,9.38,100.00,29.23,90.00,Rejected
623,Moderate Risk,4.40,100.00,0.00,0.00,Rejected
624,Moderate Risk,-23.00,100.00,0.00,0.00,Rejected
625,Moderately High Risk,7.45,70.33,0.00,0.00,Rejected
626,Moderate Risk,-15.19,0.62,0.00,25.73,Approved
627,Low Risk,4.75,60.02,0.00,90.00,Rejected
628,Low Risk,-1.08,80.29,0.00,90.00,Rejected
629,Moderate Risk,16.01,91.18,34.76,62.45,Rejected
630,Moderate Risk,4.88,88.14,100.00,90.00,Rejected
631,Moderate Risk,18.25,67.57,0.00,2.50,Rejected
632,Low Risk,-5.56,25.17,0.00,0.00,Approved
633,Moderate Risk,1.00,49.64,0.00,0.00,Hold
634,Low Risk,-13.38,37.49,0.00,18.27,Approved
635,Moderate Risk,-4.50,35.24,0.00,15.73,Hold
636,High Risk,-9.59,0.00,0.00,20.89,Approved
637,Low Risk,209.83,100.00,0.00,0.00,Rejected
638,Moderate Risk,-2.00,37.07,0.00,0.00,Hold
639,High Risk,-3.91,43.79,0.00,15.70,Rejected
640,Moderate Risk,-11.17,13.59,0.00,0.00,Approved
641,Moderate Risk,-10.84,0.00,0.00,3.49,Approved
642,Low Risk,-8.45,3.01,0.00,16.67,Approved
643,Moderate Risk,-5.00,0.00,0.00,90.00,Rejected
644,Low Risk,-6.00,0.00,0.00,0.00,Approved
645,Moderate Risk,-14.41,0.00,0.00,1.80,Approved
646,Moderate Risk,-8.87,13.10,0.00,22.16,Approved
647,High Risk,45.00,100.00,0.00,0.00,Rejected
648,High Risk,9.33,100.00,0.00,0.00,Rejected
649,Moderate Risk,10.29,87.50,0.00,0.00,Rejected
650,Moderate Risk,-4.20,69.59,0.00,86.17,Rejected
651,Moderately High Risk,-12.49,6.39,17.60,90.00,Approved
652,High Risk,0.50,50.00,0.00,0.00,Rejected
653,Low Risk,-12.81,13.71,0.00,0.00,Approved
654,High Risk,3.20,53.35,47.51,87.31,Rejected
655,High Risk,-2.00,0.00,0.00,0.00,Approved
656,Moderate Risk,112.00,100.00,0.00,0.00,Rejected
657,Moderate Risk,-17.50,0.00,61.41,90.00,Rejected
658,Moderate Risk,-5.80,0.00,0.00,0.00,Approved
659,Moderate Risk,3.58,53.13,0.00,0.00,Hold
660,High Risk,5.63,100.00,0.00,0.00,Rejected
661,Moderate Risk,22.50,98.27,0.00,0.00,Rejected
662,Moderate Risk,23.00,100.00,0.00,0.00,Rejected
663,Low Risk,4.87,34.24,0.00,0.00,Approved
664,Moderate Risk,-0.44,24.41,0.00,45.49,Hold
665,Moderate Risk,-4.37,23.06,0.00,10.11,Approved
666,Moderate Risk,-18.51,2.25,0.00,12.63,Approved
667,Moderate Risk,9.21,91.20,0.00,68.19,Rejected
668,Moderate Risk,18.50,99.61,0.00,53.37,Rejected
669,Moderate Risk,8.50,76.89,100.00,90.00,Rejected
670,Moderate Risk,-2.00,0.00,0.00,0.00,Approved
671,High Risk,4.29,37.42,100.00,77.65,Rejected
672,High Risk,9.00,100.00,0.00,0.00,Rejected
673,Moderate Risk,13.25,74.94,0.00,0.00,Rejected
674,Low Risk,-10.84,13.10,60.17,0.23,Approved
675,Low Risk,-5.70,26.07,0.00,11.08,Approved
676,Moderate Risk,29.00,90.21,0.00,0.00,Rejected
677,Moderate Risk,-5.78,8.86,0.00,0.00,Approved
678,High Risk,4.00,83.02,0.00,0.00,Rejected
679,High Risk,-1.89,57.81,0.00,4.37,Rejected
680,High Risk,-14.83,0.00,0.00,0.00,Approved
681,High Risk,-3.00,21.52,0.00,0.00,Approved
682,High Risk,-19.00,0.00,0.00,0.00,Approved
683,High Risk,-12.00,11.92,0.00,39.41,Hold
684,Moderate Risk,24.00,80.02,0.00,0.00,Rejected
685,Moderate Risk,-18.00,0.00,0.00,0.00,Approved
686,Moderate Risk,8.00,100.00,0.00,0.00,Rejected
687,Moderate Risk,-7.06,26.13,3.91,75.40,Hold
688,Low Risk,-5.49,32.60,2.96,9.14,Approved
689,Moderate Risk,-1.33,43.39,0.00,0.00,Hold
690,Moderate Risk,3.67,12.50,0.00,0.00,Approved
691,High Risk,51.00,100.00,0.00,0.00,Rejected
692,Moderate Risk,48.00,100.00,0.00,0.00,Rejected
693,Moderate Risk,-12.37,27.23,38.39,30.47,Hold
694,Moderate Risk,-26.02,0.00,1.35,39.83,Approved
695,Moderate Risk,-25.56,0.20,0.80,20.10,Approved
696,Moderate Risk,-25.16,0.88,0.28,45.13,Hold
697,Moderate Risk,-25.54,0.41,0.95,32.42,Approved
698,Moderate Risk,-25.65,0.15,0.13,30.35,Approved
699,Moderate Risk,-25.56,0.00,1.78,23.93,Approved
700,Moderate Risk,-24.73,1.28,0.39,24.69,Approved
701,Moderate Risk,0.48,72.28,0.00,15.96,Rejected
702,Low Risk,2.84,43.90,5.70,37.01,Approved
703,Low Risk,-9.02,1.05,0.00,19.03,Approved
704,Low Risk,5.17,74.90,0.00,26.37,Hold
705,Low Risk,-8.67,0.78,0.00,16.76,Approved
706,Low Risk,-8.61,0.00,0.00,0.00,Approved
707,Low Risk,1.92,67.47,0.00,25.16,Approved
708,Low Risk,-2.60,25.84,1.20,24.23,Approved
709,Low Risk,-1.18,28.25,1.79,32.53,Approved
710,Low Risk,-3.08,39.41,41.23,33.89,Approved
711,Low Risk,-5.52,0.00,0.00,43.65,Approved
712,Low Risk,-8.26,1.84,0.88,21.25,Approved
713,Low Risk,-20.00,0.00,0.00,0.00,Approved
714,Low Risk,-3.65,40.49,2.25,61.95,Hold
715,Low Risk,1.32,52.41,0.00,26.57,Approved
716,Low Risk,-5.83,19.70,78.88,74.45,Hold
717,Low Risk,-10.08,0.13,0.79,17.71,Approved
718,Moderately High Risk,-9.32,0.00,0.00,24.12,Approved
719,Low Risk,-9.20,1.77,0.00,22.66,Approved
720,Low Risk,-5.08,10.17,6.48,35.89,Approved
721,Low Risk,-5.25,1.48,0.93,23.83,Approved
722,Low Risk,-9.21,1.78,2.91,18.96,Approved
723,Low Risk,-15.72,7.95,0.00,16.00,Approved
724,Low Risk,0.23,62.54,0.44,19.18,Hold
725,Low Risk,-8.45,0.65,0.31,22.52,Approved
726,Low Risk,2.26,72.78,0.00,23.22,Approved
727,Low Risk,-8.75,2.81,5.96,27.42,Approved
728,Low Risk,-10.02,0.11,0.00,22.56,Approved
729,Moderate Risk,10.02,71.02,0.00,32.45,Rejected
730,Low Risk,8.29,29.52,1.38,22.53,Approved
731,Low Risk,-1.76,0.56,0.00,26.72,Approved
732,Low Risk,-7.55,15.31,0.00,7.39,Approved
733,Low Risk,4.59,70.27,56.71,43.02,Rejected
734,Low Risk,5.00,100.00,0.00,0.00,Hold
735,Moderate Risk,10.81,59.43,17.45,20.36,Rejected
736,Low Risk,-14.38,0.12,0.00,27.19,Approved
737,Low Risk,-16.27,1.58,0.19,12.54,Approved
738,Moderate Risk,-14.37,1.14,0.00,0.00,Approved
739,Moderate Risk,-22.50,0.00,0.00,0.00,Approved
740,Low Risk,36.40,78.33,100.00,43.90,Rejected
741,Low Risk,-11.32,56.04,0.41,31.52,Approved
742,Low Risk,-4.02,5.16,1.82,26.59,Approved
743,Low Risk,1.43,56.19,0.17,20.30,Hold
744,Low Risk,3.15,40.16,4.79,32.78,Approved
745,Low Risk,-32.29,4.05,0.80,24.67,Approved
746,Low Risk,-4.80,17.77,4.61,26.44,Approved
747,Low Risk,-5.67,10.68,3.45,19.54,Approved
748,Low Risk,13.28,79.22,0.00,0.00,Hold
749,Low Risk,-36.50,15.59,0.00,38.40,Approved
750,Low Risk,-14.34,7.32,0.74,4.90,Approved
751,Moderate Risk,10.49,25.87,0.00,19.92,Hold
752,Low Risk,0.07,73.19,0.26,27.38,Hold
753,Low Risk,-19.77,2.29,4.79,10.67,Approved
754,Low Risk,-4.27,19.62,0.00,0.00,Approved
755,Low Risk,-5.40,4.83,0.00,24.55,Approved
756,Low Risk,-11.96,2.29,0.00,0.00,Approved
757,Moderate Risk,-9.38,0.00,0.00,0.00,Approved
758,Moderate Risk,3.30,68.41,33.02,24.37,Rejected
759,Low Risk,-10.65,3.09,23.06,19.96,Approved
760,Low Risk,6.44,88.10,4.47,3.96,Hold
761,Low Risk,-9.91,0.87,0.00,26.34,Approved
762,Moderate Risk,-0.76,25.29,0.00,31.64,Approved
763,Moderate Risk,-5.06,28.22,0.00,24.32,Approved
764,Low Risk,-14.98,2.88,3.58,8.37,Approved
765,Low Risk,-7.28,31.15,97.99,0.46,Hold
766,Low Risk,1.41,93.37,0.00,18.44,Approved
767,Low Risk,-6.21,20.88,1.79,4.00,Approved
768,Low Risk,-8.76,2.21,7.02,17.85,Approved
769,Low Risk,-2.02,49.78,14.40,37.05,Approved
770,Low Risk,-3.35,26.30,0.60,19.89,Approved
771,Moderate Risk,-1.96,18.35,0.00,15.90,Approved
772,Low Risk,0.29,43.37,0.96,9.65,Approved
773,Low Risk,-1.05,57.31,1.06,21.23,Approved
774,Low Risk,-4.85,37.21,0.44,15.21,Approved
775,Low Risk,-10.34,0.00,0.00,0.00,Approved
776,Low Risk,0.12,31.36,1.35,27.25,Approved
777,Low Risk,-12.42,24.17,0.16,17.17,Approved
778,Low Risk,-6.92,4.17,0.62,14.54,Approved
779,Low Risk,-10.91,3.61,0.00,17.16,Approved
780,Low Risk,-3.89,3.71,22.21,14.93,Approved
781,Moderate Risk,-5.25,6.65,0.34,11.15,Approved
782,Moderate Risk,7.75,34.31,16.02,25.75,Approved
783,Low Risk,-5.18,2.58,0.00,10.36,Approved
784,Moderate Risk,-5.18,1.11,0.00,0.00,Approved
785,Low Risk,-14.00,0.72,0.00,34.15,Approved
786,Low Risk,-10.82,2.58,64.67,61.71,Hold
787,Low Risk,3.26,38.55,35.08,37.49,Approved
788,Low Risk,-6.29,26.08,0.00,0.00,Approved
789,Moderate Risk,-0.27,72.66,0.00,0.00,Rejected
790,Low Risk,-5.84,20.92,17.11,25.78,Approved
791,Moderate Risk,-2.80,47.74,0.00,0.00,Hold
792,Moderate Risk,3.49,50.63,0.00,33.12,Hold
793,Low Risk,4.01,83.19,0.00,7.08,Approved
794,Moderate Risk,4.61,73.47,93.44,90.00,Rejected
795,Low Risk,-23.77,3.74,29.88,17.35,Approved
796,Low Risk,-2.68,30.98,0.00,9.39,Approved
797,Low Risk,-9.13,0.28,4.41,12.99,Approved
798,Moderate Risk,6.74,85.28,3.47,44.67,Rejected
799,Low Risk,1.80,71.47,0.00,37.94,Hold
800,Low Risk,-4.81,37.79,27.41,33.98,Approved
801,Low Risk,-4.59,33.22,0.01,6.18,Approved
802,Low Risk,-6.69,13.89,0.04,16.74,Approved
803,Low Risk,-12.35,10.95,13.00,21.91,Approved
804,Moderate Risk,1.07,31.55,26.65,31.52,Approved
805,Moderate Risk,-11.28,14.31,0.00,55.44,Approved
806,Moderate Risk,-7.66,1.13,0.00,37.15,Approved
807,Moderate Risk,-9.00,0.00,0.00,0.00,Approved
808,Moderate Risk,-14.40,0.00,0.00,25.20,Approved
809,Low Risk,-3.96,46.54,0.00,2.00,Approved
810,Moderate Risk,-6.73,7.86,0.00,0.00,Approved
811,Moderate Risk,-12.28,14.76,0.00,33.34,Approved
812,Low Risk,-2.95,34.60,0.00,30.65,Approved
813,Low Risk,-9.36,20.14,0.00,21.69,Approved
814,Low Risk,-14.29,0.94,0.00,10.28,Approved
815,Low Risk,-0.55,49.91,2.78,50.88,Hold
816,Low Risk,-9.52,0.00,0.00,12.34,Approved
817,Low Risk,-15.23,3.47,0.00,27.75,Approved
818,Low Risk,-17.79,23.95,0.58,21.61,Approved
819,Low Risk,-4.67,15.76,72.17,16.85,Hold
820,Moderate Risk,-11.60,5.15,48.83,34.74,Approved
821,Low Risk,-11.83,22.70,0.00,90.00,Hold
822,Moderate Risk,10.33,66.86,0.00,0.00,Rejected
823,Moderate Risk,-3.25,16.25,50.04,64.06,Rejected
824,Low Risk,-15.15,59.67,0.00,64.79,Hold
825,Low Risk,-5.60,18.64,0.00,0.00,Approved
826,Low Risk,13.79,90.13,0.00,34.41,Hold
827,Low Risk,-0.50,50.00,0.00,0.00,Approved
828,Low Risk,-6.93,16.53,1.96,10.68,Approved
829,Low Risk,-2.84,47.72,0.67,11.93,Approved
830,Moderate Risk,-5.50,8.12,0.00,14.33,Approved
831,Low Risk,-4.78,31.67,0.00,59.30,Hold
832,Low Risk,-19.40,0.40,0.00,15.41,Approved
833,Moderate Risk,4.42,88.51,0.00,12.37,Rejected
834,Moderately High Risk,-8.73,2.73,0.00,3.31,Approved
835,Low Risk,-12.67,9.67,14.14,19.85,Approved
836,Low Risk,-15.64,0.42,10.92,7.34,Approved
837,Low Risk,-3.28,24.06,4.68,9.14,Approved
838,Low Risk,0.39,51.38,0.00,90.00,Hold
839,Low Risk,3.56,81.45,0.45,82.87,Rejected
840,Low Risk,-5.77,6.31,0.00,33.25,Approved
841,Low Risk,16.07,85.75,0.00,63.40,Rejected
842,Low Risk,-35.80,5.80,0.00,8.55,Approved
843,Low Risk,-3.71,7.70,0.00,0.00,Approved
844,Low Risk,3.59,68.05,0.00,12.41,Approved
845,Low Risk,-6.53,18.28,0.00,30.66,Approved
846,Moderately High Risk,9.20,64.23,0.37,23.64,Rejected
847,Low Risk,20.42,85.24,32.83,88.77,Rejected
848,Low Risk,1.39,52.54,0.00,32.79,Approved
849,Low Risk,-7.94,27.39,0.00,3.81,Approved
850,Low Risk,-9.41,20.95,5.34,16.69,Approved
851,Low Risk,-6.22,3.31,0.61,20.52,Approved
852,Low Risk,-7.06,11.11,0.00,15.32,Approved
853,Low Risk,-2.56,25.29,3.72,10.24,Approved
854,Moderate Risk,21.25,99.88,46.33,90.00,Rejected
855,Low Risk,1.38,35.73,34.83,20.51,Approved
856,Low Risk,-9.10,16.52,49.38,13.08,Approved
857,Low Risk,-16.57,0.28,0.00,0.50,Approved
858,Moderate Risk,1.80,99.21,0.00,0.00,Rejected
859,Low Risk,-21.37,0.07,0.00,10.51,Approved
860,Low Risk,-17.86,5.67,1.18,19.19,Approved
861,Low Risk,-8.58,30.94,0.00,22.12,Approved
862,Low Risk,-9.78,1.82,0.00,15.29,Approved
863,Low Risk,5.84,45.25,0.00,35.22,Approved
864,Moderate Risk,-22.96,3.62,0.00,20.92,Approved
865,Moderate Risk,-4.92,18.90,0.05,19.96,Approved
866,Moderate Risk,0.26,25.76,25.56,23.49,Approved
867,Moderate Risk,5.34,65.96,0.00,26.82,Rejected
868,Low Risk,-1.06,73.48,32.33,45.00,Rejected
869,Moderate Risk,3.19,14.57,60.28,12.77,Approved
870,Moderate Risk,-12.37,3.93,0.00,78.35,Rejected
871,Moderate Risk,-17.64,0.06,0.00,0.83,Approved
872,Moderate Risk,-3.42,12.35,43.67,19.65,Hold
873,Moderately High Risk,-10.23,6.64,11.77,1.97,Approved
874,Low Risk,-0.04,42.23,8.26,31.23,Approved
875,Low Risk,-4.72,10.44,0.00,12.99,Approved
876,Low Risk,46.74,90.31,100.00,3.82,Rejected
877,Moderate Risk,8.56,99.85,5.68,25.82,Rejected
878,Low Risk,11.78,100.00,0.00,53.83,Rejected
879,Low Risk,16.24,98.88,4.51,56.93,Rejected
880,Low Risk,5.76,96.41,12.12,32.45,Rejected
881,Moderate Risk,-17.19,0.14,0.00,11.86,Approved
882,Low Risk,0.00,39.32,0.00,64.56,Approved
883,Low Risk,0.00,0.00,50.00,90.00,Hold
884,Moderate Risk,10.00,100.00,0.00,26.48,Rejected
885,Moderate Risk,-4.00,29.99,0.00,21.02,Approved
886,Moderate Risk,-12.94,0.00,0.81,20.05,Approved
887,Moderate Risk,3.97,71.08,2.02,14.33,Rejected
888,Low Risk,-1.92,25.40,77.34,69.78,Hold
889,Low Risk,-6.79,0.61,0.68,11.80,Approved
890,Low Risk,-18.91,0.16,0.14,13.88,Approved
891,Low Risk,-7.21,4.96,0.00,32.41,Approved
892,Moderate Risk,0.00,0.00,100.00,90.00,Rejected
893,Moderate Risk,-15.52,0.00,3.55,5.53,Approved
894,Moderate Risk,0.00,0.00,96.01,90.00,Rejected
895,Moderate Risk,-3.00,47.33,0.00,0.00,Hold
896,Moderate Risk,18.00,100.00,0.00,6.63,Rejected
897,Low Risk,40.43,66.40,99.76,90.00,Rejected
898,Moderate Risk,12.69,72.31,0.00,36.80,Rejected
899,Moderate Risk,-7.83,31.91,0.00,0.00,Approved
900,Moderate Risk,0.00,0.00,0.00,90.00,Rejected
901,Moderate Risk,-24.77,0.02,0.93,20.11,Approved
902,Moderate Risk,-24.88,2.40,1.86,56.34,Approved
